"cutoff","block.mse","block.mse.0","block.mse.last"
177,0.109100018924315,0.0305622186993843,0.0306880402071122
178,0.117843047711532,0.0315215006465186,0.0317926186321614
179,0.115988864298129,0.0279931161052994,0.0276587800505546
180,0.124072591560304,0.0282957027687721,0.0285839846861996
181,0.129854013787005,0.0288864830477403,0.0292477972515894
182,0.13361997063913,0.031142147656856,0.0316120229715317
183,0.129145383098675,0.0309054660870237,0.0311080000761823
184,0.128198870681036,0.0315772957701213,0.031550546769054
185,0.115461573425257,0.029059184345847,0.029150905405124
186,0.109417704810189,0.0278731790314456,0.0275516307386955
187,0.104568629769537,0.0237982378649584,0.0236742041913012
188,0.105155776893494,0.0252446461675409,0.0253844128824272
189,0.107541916754154,0.026514177622923,0.0267014455932783
190,0.100220006701758,0.0271409855573085,0.0274385470065187
191,0.100071313215237,0.0280645360445764,0.0282991837014304
192,0.0948931444723461,0.025479321507775,0.0255658513101322
193,0.0921669441140273,0.0241397902486452,0.0239295927195447
194,0.0911428292334278,0.0238877547621454,0.0238089012592036
195,0.0920302327469272,0.0251681398330571,0.0250495027059401
196,0.0906578942673156,0.0256058393746084,0.0257235443094815
197,0.089722998193101,0.0254199459721809,0.0254815429062958
198,0.0884415339663755,0.0262435028329791,0.0262717875183778
199,0.0852107593431595,0.026125100103003,0.0259744227999434
