"cutoff","block.mse","block.mse.0","block.mse.last"
374,0.0276243609374117,0.0175099360835836,0.0173477454893634
375,0.0276091718535015,0.0181862413251768,0.0179440528375139
376,0.0233276945403586,0.0180088274817169,0.0176667860532971
377,0.0333402671409602,0.0230116320314648,0.0229379744938806
378,0.035410415395669,0.0266084087142117,0.0271572441517248
379,0.0375184824349884,0.0312393384165814,0.0310619443573813
380,0.0410331554135782,0.0354764218943484,0.0351870053372086
381,0.0435148645950227,0.0372973676898483,0.0368891589904272
382,0.0580730435871209,0.0368210694040791,0.0365181010691537
383,0.0646338962589129,0.0412017348403737,0.0409375184218023
384,0.0601367613857311,0.0200855786263331,0.0194814716875131
385,0.0604913058799483,0.0186444692802944,0.0188008072813673
386,0.0813522450583629,0.0237275701626389,0.0242705803441299
387,0.0809354446586899,0.0277325034448204,0.0284656070992597
388,0.0789215286102621,0.0261031822922367,0.0266777857621823
389,0.0676342153984465,0.0238025029304862,0.0235474360141094
390,0.0635373106846924,0.0230867515984592,0.0224559229234155
391,0.0532720535771423,0.0192223650100508,0.0188948686025618
392,0.0542097952914098,0.0213490488767516,0.0211748619674245
393,0.0524652098446308,0.0220927270612729,0.0220050839135451
394,0.0585648786641573,0.022313192314905,0.0240032175342843
395,0.0436349236127596,0.0185738311144766,0.0185942114138364
396,0.0382855740817892,0.0168324598473786,0.0162959325483503
397,0.0412724090681696,0.0175873536679841,0.0181707344070184
398,0.0437475485826288,0.0206865317758163,0.0205227278930106
399,0.0476769055613244,0.0196876261091429,0.0197025887718752
400,0.0543983593889438,0.0198147071904999,0.0199149541365451
401,0.058345830587981,0.0198867661364906,0.0199482634604125
402,0.068166490676347,0.0235776341625586,0.0237882919285758
403,0.0666938085855731,0.0226202003018107,0.022709026899232
404,0.0822694929420275,0.0355562385375012,0.0357514910085789
405,0.103532919927746,0.0474433109056578,0.0479458991152314
406,0.0943578746057142,0.0384931504366663,0.0380256186429679
407,0.0950822205907775,0.0378779015522645,0.0372795340455765
408,0.0794493136247014,0.0328313865734335,0.032053120101853
409,0.075954866257682,0.0300058106523735,0.0292042662584608
410,0.0738127555549774,0.0255013725729363,0.0250021181336107
411,0.0969799025002653,0.0283283567619664,0.0291774275990756
412,0.164410876902331,0.0575733081093355,0.0643868024436362
413,0.147432323351224,0.0815417967748247,0.0821682881624927
414,0.171481664379457,0.102529716625621,0.10245970667747
