"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days","predicted.grf.past","block.mse"
34023,"Middlesex","New Jersey",65,"2020-03-26",5.46080058112233,47.0110977212848,0.290695523605053,7.26416203222664,2.38444394314676,NA,NA
34025,"Monmouth","New Jersey",65,"2020-03-26",5.45836896898196,47.0691443187525,0.296109472105692,7.38226251491738,2.34084771294495,NA,NA
36001,"Albany","New York",65,"2020-03-26",4.82028156560504,48.4815052339852,0.308841085983894,7.26347746424254,2.2443489937608,NA,NA
36059,"Nassau","New York",65,"2020-03-26",7.75900450610081,41.3512891862367,0.328434487538267,10.0660936298269,2.1104579660782,6.20623312034147,2.41109897643298
36071,"Orange","New York",65,"2020-03-26",5.98069245012607,47.7159122048521,0.337384482525781,8.19307439437661,2.05447261643688,NA,NA
36087,"Rockland","New York",65,"2020-03-26",6.43133108193348,48.5736599002569,0.340036899217855,7.96582004753953,2.03844695135824,NA,NA
36103,"Suffolk","New York",65,"2020-03-26",7.30365093607415,43.2525624812238,0.331244297983737,9.52242475973837,2.0925558108595,NA,NA
36119,"Westchester","New York",65,"2020-03-26",8.04242393889093,38.8900954832278,0.308635777329817,10.21890111785,2.24584196478047,7.30852285644873,0.538610798809834
39035,"Cuyahoga","Ohio",65,"2020-03-26",5.02669610224644,44.629099767118,0.249131183926225,6.81894478014447,2.78225780344386,NA,NA
41067,"Washington","Oregon",65,"2020-03-26",4.21318523943662,46.1774698343159,0.228358023043956,5.89678193862854,3.03535286967572,NA,NA
42091,"Montgomery","Pennsylvania",65,"2020-03-26",4.93447393313069,43.684295464551,0.241217479722985,6.8302428846217,2.87353628499874,NA,NA
45055,"Kershaw","South Carolina",65,"2020-03-26",3.94296780927757,45.5756507815676,0.216357694549047,5.71711127685895,3.20370940356278,NA,NA
47037,"Davidson","Tennessee",65,"2020-03-26",5.30117043553045,41.342499267712,0.225832563625176,6.92346198471329,3.06929686947358,NA,NA
47187,"Williamson","Tennessee",65,"2020-03-26",3.98898404656427,44.8595316801726,0.209735668268304,5.69232426017374,3.30486076251578,NA,NA
48113,"Dallas","Texas",65,"2020-03-26",5.05806398766736,44.6332184888753,0.249059322448419,6.81595206075464,2.78306057266135,NA,NA
48201,"Harris","Texas",65,"2020-03-26",4.7349445297349,45.994127883978,0.247831603507896,6.44507698713501,2.796847418767,NA,NA
49035,"Salt Lake","Utah",65,"2020-03-26",4.68872320880638,43.9062255098757,0.219189067783687,6.15784824101546,3.16232550997479,NA,NA
53033,"King","Washington",65,"2020-03-26",7.05961762829138,27.9763386842072,0.196809026833107,8.66425394119149,3.52192778813814,7.87731844242954,0.668634621442209
53053,"Pierce","Washington",65,"2020-03-26",4.84531131367087,40.9874327377189,0.209928964779264,6.51043614051797,3.30181774243861,NA,NA
53061,"Snohomish","Washington",65,"2020-03-26",6.3104376238627,31.6232177466152,0.196111853267865,7.91836559670432,3.53444816827666,6.96867301187904,0.433273826037022
55079,"Milwaukee","Wisconsin",65,"2020-03-26",5.41355748920031,45.1735838777816,0.262567385431412,7.04374194170597,2.63988301296853,NA,NA
