"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days"
18061,"Harrison","Indiana",196,"2020-08-04",5.64595156583462,-161.685204167628,0.0157483122946809,5.74317648448127,44.0140611634975
18063,"Hendricks","Indiana",196,"2020-08-04",7.46590059855358,-444.505424260003,0.0116722935592981,7.55787339320063,59.383974283939
18065,"Henry","Indiana",196,"2020-08-04",5.8955827754047,-306.755078455537,0.0117521602341392,5.99072336217565,58.9804058786063
18067,"Howard","Indiana",196,"2020-08-04",6.68657408669566,-232.987992393708,0.0156133374187748,6.8072276357772,44.3945558831288
18069,"Huntington","Indiana",196,"2020-08-04",4.78032325330343,-179.824939097875,0.0128340211158173,4.91318335204358,54.0085741097681
18071,"Jackson","Indiana",196,"2020-08-04",6.30939866273028,-495.392798519877,0.00913712328158694,6.38130109904862,75.8605481395627
18073,"Jasper","Indiana",196,"2020-08-04",5.30330490805908,-101.557797084579,0.0178495153020335,5.43620905941481,38.832829285901
18075,"Jay","Indiana",196,"2020-08-04",4.44096917030733,-159.643752405318,0.0127792762019346,4.63432467489353,54.239940479181
18077,"Jefferson","Indiana",196,"2020-08-04",5.00106584308011,-90.0456464286458,0.0175998499735089,5.15755941253409,39.3836982476137
18079,"Jennings","Indiana",196,"2020-08-04",5.33822465713989,-280.530781244071,0.0112026382684191,5.41682043392343,61.8735662039509
18081,"Johnson","Indiana",196,"2020-08-04",7.4161207361613,-422.386295487801,0.0120087913061517,7.51013350824033,57.7199788795454
18083,"Knox","Indiana",196,"2020-08-04",4.84531131367087,11.3867450585888,0.0259353938494151,4.96956523367389,26.7259168911976
18085,"Kosciusko","Indiana",196,"2020-08-04",6.7122616356205,-245.512521096034,0.0152670948621865,6.84748320645158,45.4013803422896
18087,"LaGrange","Indiana",196,"2020-08-04",6.29289101681624,-541.951805979272,0.00854159163231726,6.36307411243218,81.1496510717524
18089,"Lake","Indiana",196,"2020-08-04",8.85773875342509,-615.993978711622,0.010920181073592,8.9435625457125,63.4739640202636
18091,"LaPorte","Indiana",196,"2020-08-04",6.70371382954141,-257.27348301196,0.0147977303932414,6.81100290876915,46.8414521781346
18093,"Lawrence","Indiana",196,"2020-08-04",5.77366384020427,-221.65619729009,0.0138242510745909,5.87055389171922,50.1399444223026
18095,"Madison","Indiana",196,"2020-08-04",6.73255118995705,-317.010268941677,0.0131177144379285,6.82134621276731,52.8405450385307
18097,"Marion","Indiana",196,"2020-08-04",9.59636050310938,-738.995993810385,0.0102630548862649,9.66775658711759,67.5380954541703
18099,"Marshall","Indiana",196,"2020-08-04",6.59909274300019,-342.285778683454,0.0122916549752518,6.70246465448855,56.39168866646
18101,"Martin","Indiana",196,"2020-08-04",3.73766961828337,26.278013771669,0.0224006222866891,3.95868246325432,30.9432109380205
18103,"Miami","Indiana",196,"2020-08-04",5.53902013423435,-199.692433430675,0.0140153338650592,5.64386889946403,49.4563445461681
18105,"Monroe","Indiana",196,"2020-08-04",6.51280611260195,-66.9046985516154,0.0248324000416804,6.70238144756287,27.9130160353619
18107,"Montgomery","Indiana",196,"2020-08-04",5.81923475388082,-355.823756594777,0.0105513659180791,5.89635393954705,65.6926492684972
18109,"Morgan","Indiana",196,"2020-08-04",6.0591231955818,-296.064004140366,0.0123243442278259,6.15063657874301,56.2421146104437
18111,"Newton","Indiana",196,"2020-08-04",4.70048036579242,-280.958177132448,0.00987823000185246,4.78065018499157,70.1691680017533
18113,"Noble","Indiana",196,"2020-08-04",6.44322237229341,-426.860959465669,0.0103585378778663,6.52443860641437,66.9155423991866
18115,"Ohio","Indiana",196,"2020-08-04",3.8286413964891,80.8007853323051,0.0330046188832124,4.03313850793513,21.0015205148304
18117,"Orange","Indiana",196,"2020-08-04",5.09287339233323,-264.552618856594,0.0110960799855844,5.18800125630222,62.4677527073035
18119,"Owen","Indiana",196,"2020-08-04",4.32885187218663,-21.8196146477895,0.0199139446550481,4.47704536346533,34.8071259896886
18121,"Parke","Indiana",196,"2020-08-04",3.90629233071916,30.5876290009532,0.0234729389912362,4.047025065795,29.5296290259493
18123,"Perry","Indiana",196,"2020-08-04",5.19849703126583,-239.278549286702,0.0119802990490233,5.29862928342289,57.8572519536942
18125,"Pike","Indiana",196,"2020-08-04",3.68171096463532,110.213172393927,0.0402126259846584,3.73120199482598,17.2370533778219
18127,"Porter","Indiana",196,"2020-08-04",7.05924937198083,-218.305263646714,0.0170390300354819,7.17863304138298,40.6799670589548
18129,"Posey","Indiana",196,"2020-08-04",5.04526673806589,5.80469400173071,0.0267110855668634,5.26730069190358,25.9497944710953
18131,"Pulaski","Indiana",196,"2020-08-04",4.28653786749521,-203.20426066181,0.0107861256485994,4.38137019449472,64.2628505491171
18133,"Putnam","Indiana",196,"2020-08-04",5.41292074928704,-224.267967545993,0.0128981075762857,5.51094820930915,53.7402232428545
18135,"Randolph","Indiana",196,"2020-08-04",4.88171908544754,-137.267468222481,0.01476459727944,5.02391213559959,46.9465687035816
18137,"Ripley","Indiana",196,"2020-08-04",5.22266974820872,-145.14539732369,0.0154912190723759,5.39319661898064,44.7445212233795
18139,"Rush","Indiana",196,"2020-08-04",4.72104664337389,-133.341172345315,0.0144333957659369,4.85454525283911,48.0238463491584
18141,"St. Joseph","Indiana",196,"2020-08-04",8.02961895634579,-269.77518926918,0.0172490473339902,8.15492161804026,40.1846645289251
18143,"Scott","Indiana",196,"2020-08-04",5.51169914066029,-129.477647936969,0.0169494963341551,5.63532867489618,40.8948541534639
18145,"Shelby","Indiana",196,"2020-08-04",6.71330330238135,-421.524912409386,0.0108776223158797,6.79334612404716,63.7223062569523
18147,"Spencer","Indiana",196,"2020-08-04",4.73745079671096,-22.5706750938862,0.0218110622612683,4.91993603878907,31.7796158782612
18149,"Starke","Indiana",196,"2020-08-04",5.08406276265107,-102.310383971078,0.017139127152971,5.23275349200272,40.4423850977609
18151,"Steuben","Indiana",196,"2020-08-04",5.27519494912718,-106.60692370061,0.0175219872838616,5.42492858007761,39.5587081151668
18153,"Sullivan","Indiana",196,"2020-08-04",4.32696685749085,-42.2092720939804,0.0182065155676157,4.46440642970278,38.0713804344231
18155,"Switzerland","Indiana",196,"2020-08-04",3.76782265645406,-15.5906731666602,0.01790432996687,3.91371954005613,38.7139413673975
18157,"Tippecanoe","Indiana",196,"2020-08-04",6.9799430413656,-212.491730900807,0.017090203684308,7.10083831024049,40.5581579578471
18159,"Tipton","Indiana",196,"2020-08-04",4.63472898822964,74.7147134308488,0.0377490515313868,4.84264789341761,18.3619760614018
18161,"Union","Indiana",196,"2020-08-04",3.93741223943297,29.6161903798182,0.0237676730377679,4.12092969709507,29.1634431127735
18163,"Vanderburgh","Indiana",196,"2020-08-04",7.41440074949717,-63.8686033710186,0.0285770601038446,7.62632011836265,24.2553704979154
18165,"Vermillion","Indiana",196,"2020-08-04",3.5305534028762,79.3121684263441,0.0283974114235534,3.51241424128429,24.4088156565226
18167,"Vigo","Indiana",196,"2020-08-04",6.10797693456291,-41.2596492762343,0.0256270497395428,6.25965418136533,27.0474825469438
18169,"Wabash","Indiana",196,"2020-08-04",5.06530383829505,-143.168950457352,0.0149408712588521,5.17206572259526,46.392688120465
18173,"Warrick","Indiana",196,"2020-08-04",6.19236248947487,-58.8619041856586,0.0242135870273908,6.34061600615773,28.6263732744696
18175,"Washington","Indiana",196,"2020-08-04",4.67948221895265,3.96694545591644,0.0241672928343656,4.81009011288513,28.6812091577877
18177,"Wayne","Indiana",196,"2020-08-04",6.36548812938133,-90.464650719605,0.0221946785652359,6.51335359298086,31.2303320150642
18179,"Wells","Indiana",196,"2020-08-04",4.969813299576,-67.8645313735189,0.0188540542227544,5.10689456153728,36.763826621619
18181,"White","Indiana",196,"2020-08-04",5.83313849587024,-292.589530808726,0.0119583754567211,5.926445681831,57.9633231176369
18183,"Whitley","Indiana",196,"2020-08-04",4.9737737007921,-106.684717873923,0.016530338960926,5.1191933574747,41.9318189541296
19001,"Adair","Iowa",196,"2020-08-04",3.00991690854595,-6.59192705797197,0.0150346852788644,3.15114866030732,46.1032052020645
19005,"Allamakee","Iowa",196,"2020-08-04",5.00010384204391,-461.426506522888,0.00762007825626613,5.06298197524192,90.9632627447045
19007,"Appanoose","Iowa",196,"2020-08-04",3.70657903121334,39.944634586967,0.0237705840470341,3.87592126787036,29.1598716795699
19009,"Audubon","Iowa",196,"2020-08-04",3.32708940950844,40.1375739757977,0.0217782474187104,3.5468582091665,31.8275004977875
19011,"Benton","Iowa",196,"2020-08-04",4.90103299053006,-4.58216210114453,0.0243381594854812,5.05216776755866,28.4798520189433
19013,"Black Hawk","Iowa",196,"2020-08-04",7.99876733030568,-503.426289930305,0.0114552663279228,8.09230129219808,60.5090410574184
19015,"Boone","Iowa",196,"2020-08-04",5.42306025313948,-134.318032429312,0.0164901464453592,5.5624237534198,42.0340221268935
