"fips","county","state","date.x","new_rolled_cases","days_from_start","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","block.mse","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last"
21079,"Garrard","Kentucky","2020-08-16",1.85714285714286,208,4.44768060489532,32.9134793776862,0.0249571356563064,4.54435799635591,4.6265754889851,4.62238055448946,27.7735069482942,4.34879640196202,4.37773060256394,4.37957216605915,0.00977808558975395,0.00489300282616006,0.00463875944070027,0.0222327571868499,0.0157272989104455,0.0153132486089955
21081,"Grant","Kentucky","2020-08-16",1.42857142857143,208,4.84531131367087,-44.4314384319989,0.0192645306951182,4.9978249089519,4.98161221122836,4.9801630285367,35.9804861862322,4.90216077422774,4.87953980414641,4.88069283037517,0.00323186116560708,0.00117158956023412,0.00125185172429665,0.0117328808979665,0.00706425000576649,0.00730221742501297
21083,"Graves","Kentucky","2020-08-16",3.14285714285711,208,6.3491389913798,-489.183126544473,0.00910684546088881,6.41288690960602,6.41470873330847,6.41288690960602,76.1127641329598,6.39930325906264,6.39804603531439,6.39930325906264,0.00251645375215562,0.00239189894641992,0.00251645375215562,0.00790095598016484,0.0077029411391042,0.00790095598016484
21085,"Grayson","Kentucky","2020-08-16",2.57142857142856,208,5.35860579740484,-144.856090307548,0.0151863775193289,5.46491044004014,5.46601717284711,5.46491044004014,45.6426938996954,5.36000523183236,5.35774013101359,5.36000523183236,1.95841671692791e-06,7.49378300939544e-07,1.95841671692791e-06,0.000261156442632453,0.000161546944107942,0.000261156442632453
21087,"Green","Kentucky","2020-08-16",2.57142857142857,208,4.03550406219917,128.287122169754,0.0490223883431133,4.25087237134326,4.38847438591056,4.37866078060096,14.1394004655287,3.9370345550745,3.93644824863639,3.9370345550745,0.00969624383337543,0.00981205420058417,0.00969624383337543,0.0244007949458013,0.0245460819853069,0.0244007949458013
21089,"Greenup","Kentucky","2020-08-16",4.14285714285715,208,4.82717022660022,40.7679145964049,0.0288650961623208,5.02922589973647,5.02920660026769,5.02922589973647,24.0133334966938,4.839825468323,4.86761264140444,4.8656933055226,0.000160155143061994,0.00163558891519659,0.00148402760965994,0.00262166883053826,0.0083780792691671,0.00798046828970275
21091,"Hancock","Kentucky","2020-08-16",0.285714285714292,208,3.93462283734539,-491.868073764556,0.00571955870919225,4.04297344755002,3.97776889411105,3.97465974830974,121.188926594275,4.11979638816104,4.02922697692321,4.02492927320773,0.0342892439216762,0.00894994322525971,0.00815525235815901,0.0470625923933749,0.0240440173019602,0.0229517388566952
21093,"Hardin","Kentucky","2020-08-16",17.8571428571429,208,6.57507584059962,2.71893815832259,0.0320296269982792,6.79928322958757,6.7984428602278,6.79928322958757,21.6408133818475,6.50198517817428,6.49795545720447,6.49626798936145,0.00534224493377501,0.00594755353501495,0.00621067741677754,0.0111163223356332,0.0117292005848737,0.0119858467261395
21095,"Harlan","Kentucky","2020-08-16",3,208,5.49775353406028,-144.445117333687,0.0155542000452367,5.59088126029174,5.61065678195424,5.60663293437694,44.5633448550261,5.55276475850814,5.56697857772266,5.56542152233268,0.0030262348152528,0.00479210667005839,0.00457895663683367,0.0100061277951164,0.0125915145583572,0.0123082978989829
21097,"Harrison","Kentucky","2020-08-16",0.285714285714292,208,4.80752776954246,-856.175434886803,0.00473665306025892,5.07378640173075,4.84309806557891,4.84068434096427,146.336911684652,4.827828074388,4.82958379338255,4.827828074388,0.000412102376821842,0.000486468187634617,0.000412102376821842,0.00422260792213202,0.00458780997164975,0.00422260792213202
21099,"Hart","Kentucky","2020-08-16",1.57142857142857,208,4.79460921055091,-67.5174792978513,0.0173957493439731,4.91460325515654,4.91880238158286,4.91637945595872,39.8457788080334,4.83453348984518,4.82828919300875,4.83453348984518,0.00159394807716684,0.00113434121836039,0.00159394807716684,0.00832690998182148,0.00702455215405759,0.00832690998182148
21101,"Henderson","Kentucky","2020-08-16",3.85714285714283,208,5.89124950094636,-290.140642323714,0.0118264783083448,5.97403484910477,5.97467460603868,5.97403484910477,58.6097705917117,5.89503450902723,5.89630128112347,5.89503450902723,1.43262861722504e-05,2.55204829578365e-05,1.43262861722504e-05,0.000642479677742707,0.000857505725448904,0.000642479677742707
21103,"Henry","Kentucky","2020-08-16",3.14285714285714,208,4.89142266563028,14.6032994564864,0.0252921722650058,5.06846787148532,5.0612302050441,5.06846787148532,27.4056009621199,4.89620741793094,4.97025844924588,4.96810806741357,2.28938545786701e-05,0.00621508077828566,0.00588065084666456,0.000978192364008959,0.016117148119205,0.015677525134379
21105,"Hickman","Kentucky","2020-08-16",1.42857142857143,208,4.00992722040952,127.046452019098,0.0478848312711864,4.21164080476769,4.3499159246416,4.34512103930783,14.4752975453634,3.86343724967448,4.06479939545118,4.0689648856566,0.0214593115259529,0.00301095559380256,0.00348544591782624,0.0365318278071091,0.0136840825345593,0.0147228770005083
21107,"Hopkins","Kentucky","2020-08-16",2.57142857142856,208,6.07238598946021,-728.713071925239,0.0064826531960097,6.11776456183228,6.12043921757402,6.11776456183228,106.923378376403,6.09048869545801,6.0912252358327,6.09048869545801,0.00032770796444277,0.000354917203883353,0.00032770796444277,0.00298115205937507,0.00310244546463095,0.00298115205937507
21109,"Jackson","Kentucky","2020-08-16",0.714285714285722,208,5.02856876196973,-541.296028337841,0.00675396757190566,5.10799885015482,5.07920551060314,5.07584653497307,102.628147556292,5.05275039541309,5.05384727383123,5.05275039541309,0.000584751395989048,0.000639003161931995,0.000584751395989048,0.00480885010984483,0.00502697945639669,0.00480885010984483
21111,"Jefferson","Kentucky","2020-08-16",222.285714285714,208,9.12230509435578,-173.329185510201,0.0239223889515579,9.28976181701669,9.285771830227,9.28976181701669,28.9748311493283,9.09547461915363,9.09400384841307,9.09547461915363,0.000719874399573185,0.00080096052190979,0.000719874399573185,0.00294119467882638,0.00310242264975563,0.00294119467882638
21113,"Jessamine","Kentucky","2020-08-16",4.14285714285717,208,5.89164421182577,-198.281136196421,0.0144669224585173,5.97890615092156,5.99191324917985,5.99291266903539,47.91255241379,5.94381269553896,6.00585882709381,5.99993311579072,0.00272155069293341,0.0130449783408265,0.0117264867219302,0.00885465616007112,0.0193858643125102,0.0183800820401869
21115,"Johnson","Kentucky","2020-08-16",4.85714285714285,208,4.26468992796934,152.128505001597,0.0722585277482484,4.54300166591599,4.77727589400165,4.77049962220708,9.59260037756233,3.99894717927136,4.18548989137752,4.17070498788769,0.070619208485558,0.00627264579614569,0.00883316896215145,0.0623123259102956,0.0185711125379594,0.0220379304636579
21117,"Kenton","Kentucky","2020-08-16",17.5714285714287,208,7.30969035432574,-371.476189720947,0.0126143066514015,7.39799050088555,7.39929631081524,7.39799050088555,54.9492889078397,7.3087017897641,7.3092515914169,7.3087017897641,9.77259892531547e-07,1.92512890173773e-07,9.77259892531547e-07,0.000135240278824605,6.00248283541024e-05,0.000135240278824605
21119,"Knott","Kentucky","2020-08-16",2.57142857142857,208,4.22995712105045,120.474112410034,0.0475533691373094,4.49502442559744,4.56943751736645,4.56283070501162,14.5761949812325,4.0793277687732,4.23049105471344,4.23863604815653,0.022689201767464,2.85085156473367e-07,7.53237757126441e-05,0.0356101369273085,0.000126226731787032,0.00205177661562781
21121,"Knox","Kentucky","2020-08-16",4.71428571428569,208,5.54629289356343,-79.1485619103484,0.019270829959758,5.66848691948167,5.68236954864941,5.68118870328174,35.9687248555148,5.59675366208391,5.59841502085378,5.59675366208391,0.0025462891596775,0.0027167161532715,0.0025462891596775,0.00909810741856798,0.00939765142061631,0.00909810741856798
21123,"Larue","Kentucky","2020-08-16",1.42857142857143,208,4.30599373411057,-49.6384471741878,0.0167133196979693,4.42298697199635,4.42622110103471,4.42298697199635,41.4727410883049,4.333549277039,4.33758069497404,4.333549277039,0.000759307946080585,0.000997736096590414,0.000759307946080585,0.00639934580260657,0.00733557984844466,0.00639934580260657
21125,"Laurel","Kentucky","2020-08-16",6.71428571428572,208,6.13865226617999,-135.530795870745,0.0178692924767353,6.26373731351714,6.26298606245882,6.26373731351714,38.7898503235302,6.15404342878196,6.15400507405656,6.15404342878196,0.000236887886240288,0.000235708709694873,0.000236887886240288,0.00250725435072542,0.0025010062813224,0.00250725435072542
21127,"Lawrence","Kentucky","2020-08-16",0.285714285714285,208,3.61091791264422,-397.835363788117,0.00611438414635764,3.74711083267338,3.65503776270958,3.65371860166872,113.363368079,3.71459181435357,3.68644989723877,3.67753782827671,0.01074827789564,0.00570508069679136,0.00443821315888009,0.0287112319408644,0.020917668698605,0.0184495790943376
21129,"Lee","Kentucky","2020-08-16",-0.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21131,"Leslie","Kentucky","2020-08-16",0.571428571428569,208,3.48343547989913,48.1668880175154,0.0218078946468927,3.63827892972728,3.6458601787555,3.63609074242738,31.784231893229,3.49850013968053,3.53796475882484,3.53109177193946,0.000226943974329342,0.0029734422601579,0.00227112217103323,0.00432465589454138,0.0156538794073743,0.013680830982898
21133,"Letcher","Kentucky","2020-08-16",0.857142857142854,208,4.13173209429372,-55.0877836983416,0.0159377262538246,4.30458516108636,4.2452165729316,4.24329617807049,43.4909703881763,4.29441269717756,4.26368612470276,4.25359889105516,0.0264649785546495,0.0174118661411899,0.0148515161528941,0.03937346351873,0.0319367343761906,0.0294953288306733
21135,"Lewis","Kentucky","2020-08-16",6.14285714285715,208,4.14313472639153,159.536821929195,0.0799442213469444,4.43396058429745,4.69548354933467,4.70274427582014,8.67038503698477,3.78706365571693,3.82104045977072,3.82411764179379,0.126786607371356,0.103744716589997,0.101771900265242,0.0859424310791652,0.0777416830230231,0.0769989647127861
21137,"Lincoln","Kentucky","2020-08-16",2,208,4.7548209604925,-4.92412013520038,0.0223310583952318,4.91113836925912,4.91247152149468,4.91113836925912,31.0396027045431,4.68424276370922,4.68147460927915,4.68424276370922,0.00498128186117948,0.00537968723631207,0.00498128186117948,0.0148435024935135,0.0154256809715402,0.0148435024935135
21139,"Livingston","Kentucky","2020-08-16",0.142857142857146,208,3.56751859710967,-145.29737160934,0.0103168958992963,3.71715047568364,3.6477950117797,3.63973686840474,67.1856329002236,3.56367852115756,3.5471187212636,3.54464874024539,1.47461833179718e-05,0.000416154934535059,0.000523030352992655,0.00107639970124358,0.00571822550906876,0.00641057817688987
21141,"Logan","Kentucky","2020-08-16",5.14285714285717,208,5.86768140389712,-174.027371618037,0.0153593219748762,5.97519665772125,5.97776569329414,5.97519665772125,45.128761653265,5.82828432019819,5.8298259839809,5.82828432019819,0.00155213020398054,0.00143303281703338,0.00155213020398054,0.00671425065320764,0.00645151249880031,0.00671425065320764
21143,"Lyon","Kentucky","2020-08-16",0,208,3.46573590279973,-820.12221882865,0.00349381434022322,3.61652485202722,3.52004443663987,3.49019260318129,198.392677189498,3.61265092430292,3.59659382820787,3.58655804771764,0.0215840235432827,0.0171237966421224,0.0145979907025645,0.0423907145909494,0.0377576160094683,0.0348619018605273
21145,"McCracken","Kentucky","2020-08-16",5,208,5.95731665967542,-252.299866285113,0.0129422515538717,6.04791242055252,6.0507754803026,6.04791242055252,53.5569238223152,5.99134381344325,5.99453299668961,5.99134381344325,0.00115784719353958,0.00138505574075382,0.00115784719353958,0.00571182559392175,0.00624716447693724,0.00571182559392175
21147,"McCreary","Kentucky","2020-08-16",1.42857142857143,208,3.9262076404201,64.6772095094003,0.0269921705469086,4.05753839800948,4.11541508542937,4.11515283424846,25.6795643520166,4.03642632812751,4.0489733239496,4.03642632812751,0.0121481591199435,0.0150714130524653,0.0121481591199435,0.0280725569816314,0.0312682605641214,0.0280725569816314
21149,"McLean","Kentucky","2020-08-16",1,208,3.84710345932883,-67.3889291145357,0.0140477441000257,3.96692741288129,3.94713754161989,3.94543766802901,49.3422414036341,3.83469373902523,3.83417078861864,3.83469373902523,0.000154001158013576,0.000167253971698201,0.000154001158013576,0.0032257308478428,0.00336166439164234,0.0032257308478428
21151,"Madison","Kentucky","2020-08-16",17.8571428571429,208,6.3810905911864,48.1124028535754,0.0399098535788402,6.66045956623828,6.65932822279339,6.66045956623828,17.3678206859532,6.34640766972029,6.34706543957098,6.34640766972029,0.00120290504142434,0.00115771094245229,0.00120290504142434,0.00543526548800514,0.00533218438591285,0.00543526548800514
