"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.grf","t0.grf"
"2020-03-26","Madison","Idaho",16065,2,0,2020-03-26,65,0.693147180559945,1.85714285714286,0.619039208406225,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-26","Teton","Idaho",16081,2,0,2020-03-26,65,0.693147180559945,1.85714285714286,0.619039208406225,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-26","Twin Falls","Idaho",16083,1,0,2020-03-26,65,0,1,0,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-27","Ada","Idaho",16001,76,0,2020-03-27,66,4.33073334028633,32.5714285714286,3.48343547989913,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-27","Bingham","Idaho",16011,1,0,2020-03-27,66,0,1,0,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-03-27","Blaine","Idaho",16013,99,2,2020-03-27,66,4.59511985013459,47,3.85014760171006,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-27","Canyon","Idaho",16027,23,1,2020-03-27,66,3.13549421592915,9.42857142857143,2.24374459297111,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-03-27","Kootenai","Idaho",16055,11,0,2020-03-27,66,2.39789527279837,6,1.79175946922805,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-03-27","Madison","Idaho",16065,2,0,2020-03-27,66,0.693147180559945,2,0.693147180559945,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-27","Teton","Idaho",16081,2,0,2020-03-27,66,0.693147180559945,2,0.693147180559945,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-27","Twin Falls","Idaho",16083,2,0,2020-03-27,66,0.693147180559945,1.14285714285714,0.13353139262452,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-28","Ada","Idaho",16001,88,1,2020-03-28,67,4.47733681447821,43.5714285714286,3.7744016275521,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-28","Bingham","Idaho",16011,1,0,2020-03-28,67,0,1,0,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-03-28","Blaine","Idaho",16013,114,2,2020-03-28,67,4.7361984483945,60.2857142857143,4.0990951649807,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-28","Canyon","Idaho",16027,22,1,2020-03-28,67,3.09104245335832,12.4285714285714,2.51999796959927,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-03-28","Kootenai","Idaho",16055,13,0,2020-03-28,67,2.56494935746154,7.42857142857143,2.00533356952611,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-03-28","Madison","Idaho",16065,2,0,2020-03-28,67,0.693147180559945,2,0.693147180559945,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-28","Teton","Idaho",16081,2,0,2020-03-28,67,0.693147180559945,2,0.693147180559945,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-28","Twin Falls","Idaho",16083,2,0,2020-03-28,67,0.693147180559945,1.28571428571429,0.251314428280909,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-28","Valley","Idaho",16085,1,0,2020-03-28,67,0,1,0,67.6980782856673,0.117627368236052,0.119906550399692,67.7201177204131
"2020-03-29","Ada","Idaho",16001,113,2,2020-03-29,68,4.72738781871234,57.8571428571429,4.05797691805123,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-29","Bingham","Idaho",16011,1,0,2020-03-29,68,0,1,0,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-03-29","Blaine","Idaho",16013,115,2,2020-03-29,68,4.74493212836325,73.7142857142857,4.30019661642625,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-29","Canyon","Idaho",16027,40,1,2020-03-29,68,3.68887945411394,17.7142857142857,2.87437141654972,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-03-29","Kootenai","Idaho",16055,13,0,2020-03-29,68,2.56494935746154,8.85714285714286,2.18122423598978,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
"2020-03-29","Madison","Idaho",16065,2,0,2020-03-29,68,0.693147180559945,2,0.693147180559945,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-29","Teton","Idaho",16081,2,0,2020-03-29,68,0.693147180559945,2,0.693147180559945,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-29","Twin Falls","Idaho",16083,3,0,2020-03-29,68,1.09861228866811,1.57142857142857,0.451985123743056,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-29","Valley","Idaho",16085,1,0,2020-03-29,68,0,1,0,67.6980782856673,0.117627368236052,0.119906550399692,67.7201177204131
"2020-03-30","Ada","Idaho",16001,151,3,2020-03-30,69,5.01727983681492,77.2857142857143,4.34750912979117,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-30","Bannock","Idaho",16005,3,0,2020-03-30,69,1.09861228866811,2.71428571428571,0.998528830111126,55.460877328215,0.0743855833721294,0.115631707585427,60.8261458344606
"2020-03-30","Bingham","Idaho",16011,1,0,2020-03-30,69,0,1,0,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
