"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.x","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","r.y","lm_mse","grf_mse"
18155,"2020-04-09",79,"Switzerland","Indiana",2.27359755612079,0.180321473814795,66.1550129977619,3.57847730407903,0.190734955358597,66.6925158915237,3.68261211951705,"2020-04-16",86,2.5084371471982,0.0229335740899861,1.14498593733757,1.37868686561998
18157,"2020-04-09",79,"Tippecanoe","Indiana",3.49650756146648,0.119787415512447,49.6064848147017,4.35948512545987,0.124945798919756,50.696140265061,4.41106895953297,"2020-04-16",86,3.81614123372486,0.0409935030646018,0.295222584685746,0.353938998935205
18159,"2020-04-09",79,"Tipton","Indiana",1.94591014905531,0.084003830935537,55.8975950686009,2.52871733461032,0.0899604284728972,57.228646262354,2.58828330998392,"2020-04-16",86,2.25878247033565,0.0403092159317502,0.0728648309509832,0.108570803328915
18163,"2020-04-09",79,"Vanderburgh","Indiana",3.67449071666184,0.115350143996944,46.9504145740994,4.50437530189861,0.120770939602875,48.2543032873,4.55858325795791,"2020-04-16",86,4.08236837117539,0.0559015929893574,0.178089849578436,0.226780618393294
18165,"2020-04-09",79,"Vermillion","Indiana",0.762140052046895,0.100128467689704,71.5575904184237,1.44609634115033,0.0958656071040904,71.3600495767965,1.40346773529419,"2020-04-16",86,1.18958406687384,0.061061971976076,0.065798546854497,0.0457462236169487
18167,"2020-04-09",79,"Vigo","Indiana",3.14168618617707,0.1731019983365,60.8933988025825,4.34600283871052,0.184362178427358,61.8160557786213,4.45860463961911,"2020-04-16",86,3.76782265645406,0.0720949746039513,0.33429232315412,0.477179748265446
18169,"2020-04-09",79,"Wabash","Indiana",1.145132304303,0.208180089689894,74.0080508039835,2.49648505918337,0.211787661441474,74.0419814853141,2.53256077669918,"2020-04-16",86,1.96611285637283,0.0917463714541944,0.281294673514107,0.320863246442044
18171,"2020-04-09",79,"Warren","Indiana",0.693147180559945,0.00794013987361289,-9.96326239333016,0.761961726131257,0.0701562500014637,66.2708550217424,1.38412282740977,"2020-04-16",86,1.09861228866811,0.0658638329942969,0.113333601256379,0.0815162677325508
18173,"2020-04-09",79,"Warrick","Indiana",2.94443897916644,0.145988957812735,59.1445223575882,3.92060319257892,0.151108762807687,59.7156127233781,3.97180124252843,"2020-04-16",86,3.66721795733276,0.0909155096007431,0.0642040774407528,0.0927709776205894
18175,"2020-04-09",79,"Washington","Indiana",2.92162430140027,0.140148554815058,57.7846103148392,3.95434608791898,0.145422845031189,58.4452579013917,4.00708899008028,"2020-04-16",86,3.23587340123677,0.0417448102888346,0.516203001508347,0.594773484475247
18177,"2020-04-09",79,"Wayne","Indiana",2.371577964481,0.251769022854928,69.3929182910857,4.18114873432531,0.241385424275447,69.1087035981185,4.0773127485305,"2020-04-16",86,2.91390225530636,0.0677457708754641,1.60591363858594,1.35352397574405
18179,"2020-04-09",79,"Wells","Indiana",0.762140052046895,0.04688836131142,62.4370776453995,1.10482681691544,0.0601072357015611,65.4198560892274,1.23701556081685,"2020-04-16",86,1.31218638896617,0.0863894159189919,0.04299799212106,0.00565065340465366
18181,"2020-04-09",79,"White","Indiana",1.09861228866811,0.0666294025339143,61.6136809633255,1.62484586741504,0.0668256311011917,61.655925334631,1.62680815308782,"2020-04-16",86,1.38629436111989,0.0508473503777136,0.0569068211556859,0.0578468841267904
18183,"2020-04-09",79,"Whitley","Indiana",1.90423745265474,0.194486341512632,68.7707781961109,3.35084831574806,0.204909825434073,69.1385188697352,3.45508315496248,"2020-04-16",86,2.54272622067683,0.0846336802017076,0.653061320542318,0.832395175539113
19001,"2020-04-09",79,"Adair","Iowa",0,0,73,0,0.00901105028079018,76,0.0901105028079018,"2020-04-16",86,0,0,0,0.00811990271629288
19005,"2020-04-09",79,"Allamakee","Iowa",2.85811089567794,0.106081420271463,51.5835578571257,3.65094506320672,0.110455620795347,52.5504838790313,3.69468706844556,"2020-04-16",86,3.12299405316492,0.0385853960513148,0.278732269004162,0.326832903720678
19007,"2020-04-09",79,"Appanoose","Iowa",0,0,73,0,0.00901105028079018,76,0.0901105028079018,"2020-04-16",86,0.13353139262452,0.0143069349240557,0.0178306328162437,0.0018853736724669
19011,"2020-04-09",79,"Benton","Iowa",2.316769727986,0.080787261488222,50.6149198389999,2.85866372374841,0.0799540003168471,50.3503626993124,2.85033111203466,"2020-04-16",86,2.89827693740328,0.0806489321207216,0.00156920669606606,0.00229880217027774
19013,"2020-04-09",79,"Black Hawk","Iowa",2.62880082944807,0.117353541849282,56.8848746045178,3.41676308654581,0.12146257664032,57.5315323443555,3.4578534344562,"2020-04-16",86,4.17877324183889,0.218380616552105,0.58065947676978,0.519725368676697
19015,"2020-04-09",79,"Boone","Iowa",1.04982212449868,0.137813517532476,71.1683203676841,2.04400594104423,0.151970641290322,71.6184249795498,2.18557717862268,"2020-04-16",86,1.38629436111989,0.0395981632586183,0.43258452236657,0.638853022355205
19019,"2020-04-09",79,"Buchanan","Iowa",1.51982575374441,0.121784670643137,66.3731893116173,2.39024467545989,0.13737368358833,67.4656290899073,2.54613480491182,"2020-04-16",86,1.98591548366901,0.0634879618874421,0.163482095334261,0.313845687893748
19023,"2020-04-09",79,"Butler","Iowa",0,0,73,0,0.00901105028079018,76,0.0901105028079018,"2020-04-16",86,0,0,0,0.00811990271629288
19027,"2020-04-09",79,"Carroll","Iowa",0,0,73,0,0.00901105028079018,76,0.0901105028079018,"2020-04-16",86,0,0,0,0.00811990271629288
19031,"2020-04-09",79,"Cedar","Iowa",2.62880082944807,0.0753150484297935,44.2895002647568,3.14142830759073,0.0751103474066155,44.2030784604992,3.13938129735895,"2020-04-16",86,3.04452243772342,0.0549676806982717,0.00939074761474023,0.00899820325135347
19033,"2020-04-09",79,"Cerro Gordo","Iowa",2.42353770341171,0.0694544569681279,43.7095904953941,2.93725742710215,0.0689620811357429,43.4790432584773,2.9323336687783,"2020-04-16",86,2.59738463321469,0.0222552060850635,0.115513516024872,0.112190856424996
19043,"2020-04-09",79,"Clayton","Iowa",1.42138568093116,0.166335768799056,70.1431823444041,2.63755595545,0.163180167177181,70.0299223593658,2.60599993923124,"2020-04-16",86,1.92529086185258,0.0652595795778244,0.507321563557338,0.463364848025713
19045,"2020-04-09",79,"Clinton","Iowa",2.84158159372673,0.183208503697351,62.9981622388328,4.21413227851266,0.167874856010823,61.8105776043937,4.06079580164739,"2020-04-16",86,3.47903986842609,0.095429506547412,0.540360851366888,0.338439965838186
19049,"2020-04-09",79,"Dallas","Iowa",3.54302757710137,0.0593475752384918,18.6082272289759,3.99953830498369,0.0624538126449516,21.4626962174086,4.03060067904829,"2020-04-16",86,3.62624388312245,0.0102791132016746,0.139348725392719,0.163504418411411
